Battery level: 100%, Sensor Data: 5.1
Battery level: 80%, Sensor Data: 5.2
Battery level: 70%, Sensor Data: 4.9
Battery level: 60%, Sensor Data: 12.5 Anomaly?
Battery level: 50%, Sensor Data: 3.2
Battery level: 40%, Sensor Data: 4.1
Battery level: 30%, Sensor Data: 4.5
Battery level: 20%, Sensor Data: 5.5
Battery level: CHARGING, Sensor Data: 2.2
Battery level: CHARGING, Sensor Data: 2.9
Battery level: CHARGING, Sensor Data: 2.1
Battery level: CHARGING, Sensor Data: 1.5
Battery level: CHARGING, Sensor Data: 1.8
Battery level: CHARGING, Sensor Data: 2.6
Battery level: CHARGING, Sensor Data: 2.0
Battery level: 100%, Sensor Data: 5.1
Battery level: 80%, Sensor Data: 5.2
Battery level: 70%, Sensor Data: 4.9
Battery level: 60%, Sensor Data: 12.5 Anomaly?
Battery level: 50%, Sensor Data: 3.2
Battery level: 40%, Sensor Data: 4.1
Battery level: 30%, Sensor Data: 4.5
Battery level: 20%, Sensor Data: 5.5
Battery level: CHARGING, Sensor Data: 2.2
Battery level: CHARGING, Sensor Data: 2.9
Battery level: CHARGING, Sensor Data: 2.1
Battery level: CHARGING, Sensor Data: 1.5
Battery level: CHARGING, Sensor Data: 1.8
Battery level: CHARGING, Sensor Data: 2.6
Battery level: CHARGING, Sensor Data: 2.0
Battery level: 100%, Sensor Data: 5.1
Battery level: 80%, Sensor Data: 5.2
Battery level: 70%, Sensor Data: 4.9
Battery level: 60%, Sensor Data: 12.5 Anomaly?
Battery level: 50%, Sensor Data: 3.2
Battery level: 40%, Sensor Data: 4.1
Battery level: 30%, Sensor Data: 4.5
Battery level: 20%, Sensor Data: 5.5
Battery level: CHARGING, Sensor Data: 2.2
Battery level: CHARGING, Sensor Data: 2.9
Battery level: CHARGING, Sensor Data: 2.1
Battery level: CHARGING, Sensor Data: 1.5
Battery level: CHARGING, Sensor Data: 1.8
Battery level: CHARGING, Sensor Data: 2.6
Battery level: CHARGING, Sensor Data: 2.0
Battery level: 100%, Sensor Data: 5.1
Battery level: 80%, Sensor Data: 5.2
Battery level: 70%, Sensor Data: 4.9
Battery level: 60%, Sensor Data: 12.5 Anomaly?
Battery level: 50%, Sensor Data: 3.2
Battery level: 40%, Sensor Data: 4.1
Battery level: 30%, Sensor Data: 4.5
Battery level: 20%, Sensor Data: 5.5
